Chromosome,Arm,Band,Abnormality,CaseCount,Type,Morph_code
11,q,25,add,6,unbalanced,1822
11,q,25,add,10,unbalanced,1820
11,q,25,add,3,unbalanced,1810
11,q,25,add,2,unbalanced,1808
11,q,25,add,5,unbalanced,1802
11,q,25,add,5,unbalanced,1801
11,q,25,add,10,unbalanced,1702
11,q,25,add,9,unbalanced,1602
11,q,25,add,2,unbalanced,1835
11,q,25,add,2,unbalanced,6011
11,q,25,add,2,unbalanced,8541
11,q,25,add,2,unbalanced,8743
11,q,25,der,2,unbalanced,8541
11,q,25,der,3,unbalanced,1202
11,q,25,der,2,unbalanced,1107
11,q,25,del,4,unbalanced,1802
11,q,25,del,8,unbalanced,1602
11,q,25,del,4,unbalanced,1107
11,q,25,del,4,unbalanced,1101
11,q,25,del,2,unbalanced,5213
11,q,25,del,8,unbalanced,1802
11,q,25,del,7,unbalanced,1602
11,q,25,del,2,unbalanced,1101
11,q,25,del,15,unbalanced,1802
11,q,25,del,4,unbalanced,1101
11,q,25,del,8,unbalanced,1802
11,q,25,del,4,unbalanced,1602
11,q,25,del,2,unbalanced,1101
11,q,25,del,3,unbalanced,1602
11,q,25,del,2,unbalanced,1101
11,q,25,del,2,unbalanced,1101
11,q,25,add,2,unbalanced,1501
11,q,24,t,2,balanced,1109
11,q,25,add,2,unbalanced,1108
11,q,25,add,3,unbalanced,1102
11,p,11,add,10,unbalanced,1820
11,p,11,add,2,unbalanced,1902
11,p,11,add,2,unbalanced,1926
11,p,11,add,4,unbalanced,3111
11,p,11,add,2,unbalanced,3111
11,p,11,add,6,unbalanced,3111
11,p,11,add,4,unbalanced,3111
11,p,11,add,9,unbalanced,3111
11,p,11,add,9,unbalanced,1702
11,p,11,add,2,unbalanced,3111
11,p,11,add,2,unbalanced,3121
11,p,11,add,2,unbalanced,3121
11,p,11,add,2,unbalanced,3131
11,p,11,add,2,unbalanced,3135
11,p,11,add,2,unbalanced,3902
11,p,11,add,3,unbalanced,5104
11,p,11,add,2,unbalanced,8004
11,p,11,add,2,unbalanced,8310
11,p,11,add,2,unbalanced,3121
11,p,11,add,17,unbalanced,1602
11,p,11,add,2,unbalanced,1521
11,p,11,add,11,unbalanced,1501
11,q,25,add,10,unbalanced,1101
11,q,25,tas,2,balanced,8734
11,q,25,t,2,balanced,1802
11,q,25,inv,2,balanced,3111
11,q,11,ins,2,balanced,1602
11,p,11,inv,2,balanced,1202
11,p,11,t,2,balanced,1602
11,q,11,t,2,balanced,1203
11,p,11,t,2,balanced,1602
11,p,11,t,3,balanced,1816
11,q,11,t,2,balanced,1702
11,q,11,t,3,balanced,1802
11,p,11,t,2,balanced,1926
11,p,11,add,23,unbalanced,1101
11,p,11,add,6,unbalanced,1104
11,p,11,add,2,unbalanced,1108
11,p,11,add,4,unbalanced,1112
11,p,11,add,5,unbalanced,1113
11,p,11,add,4,unbalanced,1202
11,q,25,add,3,unbalanced,1104
11,q,24,t,2,balanced,1108
11,q,24,t,2,balanced,8740
11,q,24,t,2,balanced,1101
11,p,15,t,2,balanced,1602
11,p,15,t,20,balanced,1101
11,p,15,t,59,balanced,1104
11,p,15,t,17,balanced,1107
11,p,15,t,2,balanced,1108
11,p,15,t,4,balanced,1110
11,p,15,t,4,balanced,1202
11,p,15,t,2,balanced,1302
11,p,15,t,2,balanced,1110
11,p,15,t,2,balanced,1401
11,p,15,t,6,balanced,1602
11,p,15,t,4,balanced,1101
11,p,15,t,2,balanced,1104
11,p,15,t,2,balanced,1602
11,p,15,t,2,balanced,1103
11,p,15,t,4,balanced,1104
11,p,15,t,3,balanced,1101
11,p,15,t,2,balanced,1107
11,p,15,t,2,balanced,1112
11,p,15,t,18,balanced,1108
11,p,15,t,25,balanced,1107
11,p,15,t,8,balanced,1104
11,p,15,inv,4,balanced,1101
11,p,15,inv,2,balanced,1103
11,p,15,inv,5,balanced,1104
11,p,15,inv,2,balanced,1107
11,p,15,inv,2,balanced,1602
11,p,15,t,2,balanced,1101
11,p,15,t,2,balanced,1104
11,p,15,t,2,balanced,1602
11,p,15,t,4,balanced,1101
11,q,23,ins,2,balanced,1602
11,p,15,t,2,balanced,1107
11,p,15,t,2,balanced,1101
11,p,15,t,2,balanced,1113
11,p,15,t,3,balanced,1602
11,p,15,t,2,balanced,1103
11,p,15,t,14,balanced,1602
11,p,15,t,2,balanced,1101
11,p,15,t,16,balanced,1101
11,p,15,t,8,balanced,1103
11,p,15,t,2,balanced,1203
11,p,15,inv,3,balanced,1107
11,p,15,t,2,balanced,1203
11,p,15,t,2,balanced,1101
11,p,15,add,3,unbalanced,1102
11,p,15,add,3,unbalanced,1103
11,p,15,add,5,unbalanced,1104
11,p,15,add,7,unbalanced,1107
11,p,15,add,2,unbalanced,1109
